uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P48570	YDL182W	6.42656E-06	5.66552E-06	5.87692E-06	2.77195E-06	5.96292E-06	5.15712E-06	5.30145E-06	5.47965E-06	6.01425E-06	8.99411E-06	8.93532E-06	7.52448E-06
P39692	YFR030W	2.48184E-06	3.2471E-06	2.8835E-06	1.7083E-06	1.77679E-06	1.88557E-06	2.78883E-06	2.73983E-06	3.23433E-06	4.87328E-06	4.44415E-06	4.00914E-06
P22515	YKL210W	2.8835E-06	2.2493E-06	2.6425E-06	2.8485E-06	2.85253E-06	2.99355E-06	2.33442E-06	2.15177E-06	2.46362E-06	4.7851E-06	4.67929E-06	4.80273E-06
P33416	YDR258C	4.08848E-06	4.16458E-06	4.31256E-06	4.99596E-06	4.55277E-06	5.19741E-06	3.44817E-06	3.48827E-06	3.3368E-06	3.08621E-06	4.00914E-06	4.24428E-06
P33442	YLR441C	1.65738E-05	1.72502E-05	1.41215E-05	1.62369E-05	1.22482E-05	1.63175E-05	1.71963E-05	1.64835E-05	1.71963E-05	2.96864E-05	2.86283E-05	2.20444E-05
P23248	YML063W	1.65738E-05	1.63624E-05	1.21766E-05	1.62369E-05	1.15229E-05	1.54311E-05	1.95575E-05	1.41669E-05	1.89338E-05	2.96864E-05	2.86283E-05	2.20444E-05
P40825	YOR335C	3.18791E-06	3.24288E-06	2.12668E-06	2.34085E-06	2.21192E-06	2.49798E-06	2.26314E-06	2.83338E-06	3.10514E-06	4.07968E-06	4.27955E-06	3.73873E-06
P14832	YDR155C	1.55168E-05	1.85186E-05	1.92374E-05	1.9178E-05	1.72844E-05	1.20467E-05	1.64835E-05	1.81319E-05	1.71072E-05	1.66949E-05	1.28151E-05	1.07577E-05
P53691	YLR216C	3.63185E-06	2.2958E-06	2.82853E-06	4.55277E-06	4.75422E-06	3.77517E-06	2.49926E-06	2.41461E-06	3.39026E-06	4.27955E-06	3.49183E-06	3.34487E-06
P25719	YML078W	2.07595E-06	1.94488E-06	1.9026E-06	1.74456E-06	2.3892E-06	2.15954E-06	2.11613E-06	3.58628E-06	1.93793E-06	2.44546E-06	2.5689E-06	2.83344E-06
